race_name,distance_km,elevation_gain,elevation_loss,race_date,race_url,source_file,bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,71,Mikael KRISTENSSON,SE,36,H,35-39M,Team Nordic Trail,https://utmb.world/runner/1135875.mikael.kristensson,600.0,16.0,12.0,3.0,20:25:09,73509.0,True,f,622.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1063,Anton CARLBERG,SE,37,H,35-39M,Scania road runners,https://utmb.world/runner/2111135.anton.carlberg,586.0,16.0,12.0,2.0,10:44:52,38692.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,58,Magnus ANUNDSSON,SE,42,H,40-44M,Borensberg IF,https://utmb.world/runner/2292411.magnus.anundsson,611.0,17.0,13.0,5.0,20:42:59,74579.0,True,f,613.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1503,Erik TENGSTRAND,SE,40,H,40-44M,IK NocOut.se,https://utmb.world/runner/696449.erik.tengstrand,,17.0,13.0,4.0,10:52:00,39120.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,57,Antoine BLUY,FR,34,H,20-34M,Coaching Ultra,https://utmb.world/runner/427006.antoine.bluy,614.0,18.0,14.0,3.0,20:53:47,75227.0,True,f,608.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1031,Petter Elias VESTRE RØKKE,NO,26,H,20-34M,IL Lauparen,https://utmb.world/runner/3370833.petterelias.vestrerokke,651.0,18.0,14.0,5.0,10:53:00,39180.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,68,Lenaic MOENNE LOCCOZ,FR,39,H,35-39M,,https://utmb.world/runner/4538636.lenaic.moenneloccoz,603.0,19.0,15.0,4.0,21:03:39,75819.0,True,f,603.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1036,Maija ORAVAMÄKI,FI,51,F,50-54W,Salomon Suomi,https://utmb.world/runner/193666.maija.oravamaki,632.0,19.0,5.0,1.0,10:55:56,39356.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,51,Magdalena SZNIGIR,PL,33,F,20-34W,Ultra Trail Academy,https://utmb.world/runner/4308550.magdalena.sznigir,621.0,20.0,5.0,3.0,21:17:20,76640.0,True,f,597.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1032,Magdalena KRASZPULSKA,PL,38,F,35-39W,Odlo Buff,https://utmb.world/runner/6083834.magdalena.kraszpulska,650.0,20.0,6.0,2.0,11:01:05,39665.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,81,Paul SZYNDRALEWICZ,FR,32,H,20-34M,Greenwhey,https://utmb.world/runner/4163043.paul.szyndralewicz,585.0,21.0,16.0,4.0,21:18:10,76690.0,True,f,596.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1030,David GUSTAFSSON,SE,33,H,20-34M,,https://utmb.world/runner/4193310.david.gustafsson,651.0,21.0,15.0,6.0,11:08:24,40104.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,20,Emil CHRISTENSEN,DK,34,H,20-34M,Tejn-if,https://utmb.world/runner/1189927.emil.christensen,670.0,22.0,17.0,5.0,21:26:45,77205.0,True,f,592.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1011,Åsmund SKATVEDT,NO,32,H,20-34M,Voksenkollen IL,https://utmb.world/runner/4484252.asmund.skatvedt,743.0,22.0,16.0,7.0,11:13:13,40393.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,121,Andreas Ladefoged Møller ANDERSEN,DK,28,H,20-34M,,https://utmb.world/runner/4823022.andreasladefogedmoller.andersen,560.0,23.0,18.0,6.0,21:26:46,77206.0,True,f,592.0
